Date,fundamental_score,sentiment_score,industry_trend_score,market_risk_factor,black_swan_risk
2000-01-03,0.5952322820254603,0.02733834827700848,0.6365787352721409,0.25181823108140633,0.024285169092854886
2000-01-04,0.6393740800655905,-0.05765777175976083,0.6133724715895935,0.5835311236289592,0.09573735854815915
2000-01-05,0.5688434927438143,0.736404543229758,0.5691268748620614,0.2766359268994893,0.028136444209049094
2000-01-06,0.591887636425433,0.0450209579687337,0.5600025364594682,0.3107731042935216,0.0765632763513488
2000-01-07,0.64430570137914,-0.20257754268937528,0.5665913650336296,0.42101131470373737,0.07612203708332621
2000-01-10,0.5765055684409287,-0.07969705833171288,0.5888132172573224,0.34014649466135705,0.01481780203987444
2000-01-11,0.5400595395371929,-0.027349425559278863,0.5363034396432805,0.2911376780608997,0.06386844641591721
2000-01-12,0.6854149283811015,-0.037250237934789925,0.5540421034310908,0.636437168427446,0.035372968275477215
2000-01-13,0.5884210627028877,-0.263331827086992,0.5612563841059579,0.4411304855715895,0.09594606109736009
2000-01-14,0.5964563124398019,-0.09885835213886718,0.555472805080638,0.2705222971352501,0.007061094314204342
2000-01-18,0.6629279013531453,0.12559143254419183,0.5202211719025494,0.5158282031346058,0.038193218918850726
2000-01-19,0.5945798717174395,-0.12829713056053496,0.6079884006737601,0.3564902594019433,0.04088767148237228
2000-01-20,0.6237729651147175,-0.10714038866061187,0.6088166949002178,0.344901340396912,0.024949072297007782
2000-01-21,0.721777518390362,-0.15756092085064244,0.6189257257102064,0.3604880909598289,0.039735423824230176
2000-01-24,0.5207964565109736,0.17755815003877562,0.5713264874553425,0.1889057738172375,0.0703762492198337
2000-01-25,0.6035792209584314,-0.0759030397744107,0.5134727336152501,0.34405584678473594,0.08452955325912632
2000-01-26,0.7115350474629688,0.28313527041535774,0.5264417693009074,0.3980180987987689,0.07877336521073937
2000-01-27,0.647362407558898,-0.1610824580854161,0.5465628331256212,0.4486819909865992,0.043094500771653346
2000-01-28,0.5996474773587708,0.09024949146992979,0.6170275268598958,0.44838595535596126,0.011351057906636298
2000-01-31,0.6763429288934554,-0.21593121994096034,0.5935119154818762,0.4587575889573902,0.06333035360888618
2000-02-01,0.5579802219039984,-0.07432504583830289,0.6798183381496895,0.3254289753881972,0.05445405764551956
2000-02-02,0.5973802757316078,-0.10627642449427013,0.6257743319371559,0.4695432552502223,0.0770727714679005
