Date,Close,High,Low,Open,Volume,SMA_10,SMA_20,SMA_50,EMA_10,EMA_20,BB_Upper,BB_Middle,BB_Lower,RSI,STOCH_K,STOCH_D,MACD,MACD_Signal,MACD_Hist,MOM,ROC,CCI,WILLR,ATR,NATR,OBV,AD,ADOSC,CDLDOJI,CDLHAMMER,CDLENGULFING,SAR,MIDPOINT,HT_DCPERIOD,HT_TRENDMODE,fundamental_score,sentiment_score,industry_trend_score,market_risk_factor,black_swan_risk
2000-03-14,47.5625,49.625,47.5625,49.3125,73489200,47.675,47.4859375,50.818125,48.07191943359548,48.330745217892556,50.76831676996206,47.4859375,44.203558230037935,45.80271430222176,68.98550724637681,79.55990591091887,-0.7002590736612149,-1.2373712227829134,0.5371121491216986,2.875,6.433566433566429,50.98603713833266,-51.30434782608696,2.253214827463972,4.7373767725917935,179500400.0,-355640737.02722526,-35590871.8185572,0,0,-100,45.46293274813184,47.59375,30.023611147444072,0,0.5600971827197281,0.0938620299950426,0.5957853182032901,0.1925686218681689,0.071995382006507
2000-03-15,47.6875,48.3125,46.84375,47.28125,53208000,47.903125,47.40625,50.60625,48.00202499112358,48.26948376856946,50.58620430391707,47.40625,44.22629569608293,46.211313602049195,55.94202898550725,70.27999089460504,-0.6742389622840221,-1.1247447706831353,0.45050580839911314,2.28125,5.024088093599444,16.085106382978722,-49.56521739130435,2.1971816255022594,4.607458192403166,232708400.0,-347716141.28254443,-39620453.22498411,0,0,0,45.81015678324393,47.59375,29.994592543360895,0,0.6157010856658625,-0.2255190074298863,0.5828913774486046,0.5366639024371078,0.0824055628998642
2000-03-16,47.6875,48.34375,46.625,47.96875,77300800,48.003125,47.35,50.43375,47.944838629101106,48.21405674299142,50.4676538654891,47.35,44.232346134510905,46.211313602049195,49.855072463768124,58.26086956521738,-0.6461692002388304,-1.0290296565942743,0.38286045635544386,1.0,2.1419009370816644,8.00159632844476,-49.56521739130435,2.1630079379663836,4.535796462314828,232708400.0,-329445043.10072625,-31853527.722036242,0,0,0,46.1365473762493,47.59375,29.41797151159635,0,0.5926733391448419,-0.0582848373300725,0.5571014458088862,0.5229844787157908,0.0217474079056464
2000-03-17,49.6875,49.75,47.25,47.625,81161600,48.165625,47.34375,50.289375,48.26168615108272,48.35438467223033,50.44207363948636,47.34375,44.24542636051364,52.81269206526042,59.31126180029252,55.03612108318928,-0.4572693103146577,-0.9146775873383509,0.45740827702369324,1.625,3.3810143042912966,69.57080903245114,-22.935779816513758,2.1870787995402132,4.401668024231876,313870000.0,-252341523.10072625,-1247435.6779178977,0,0,100,46.44335453367434,47.59375,29.607401949840636,0,0.5744382154460145,0.1423773107206606,0.6025399745844296,0.4684051199935475,0.0638526910066835
2000-03-20,48.6875,49.875,48.25,49.375,47773000,48.503125,47.4015625,50.163125,48.33910685088586,48.386109941541726,50.554393259313784,47.4015625,44.24873174068621,49.53894490988297,63.23699478633406,57.46777635013155,-0.3838318545585153,-0.8085084407823838,0.4246765862238685,3.375,7.448275862068976,61.185337444330216,-37.78801843317972,2.1469303138587694,4.409612968130977,266097000.0,-274390600.0238032,4371026.198962212,0,0,0,46.625,47.90625,30.123181971505943,0,0.6488318975309475,0.228706961113937,0.6802445502600174,0.4965748045341605,0.012773516439337
2000-03-21,51.375,51.5625,48.25,48.375,81648800,48.996875,47.625,50.07625,48.89108742345207,48.67076613758537,51.20958069374922,47.625,44.04041930625078,57.21490166205307,78.79719545523038,67.11515068061897,-0.10753376979733531,-0.6683135065853741,0.5607797367880388,4.9375,10.63257065948855,131.5420715182761,-2.8846153846153846,2.2301852914402858,4.340993268010289,347745800.0,-201985060.40116167,29310248.101347983,0,0,100,46.9025,48.34375,30.005884092739365,0,0.6340308500756897,-0.4017863701293484,0.5519883928778305,0.507187600229973,0.0785035586238773
2000-03-22,51.625,52.8125,50.5625,51.40625,93975800,49.38125,47.85,49.98625,49.38816243736988,48.95212174352962,51.824508617426794,47.85,43.87549138257321,57.85711114498968,81.33492851234787,74.45637291797074,0.13010756464287,-0.5086292923397253,0.6387368569825953,3.84375,8.044473512099405,168.59332918997302,-15.32258064516129,2.2316006277659794,4.322713080418362,441721600.0,-207205938.17893946,35186900.668363035,0,0,0,47.2753,48.46875,29.571395763242663,0,0.5996231408941592,0.1166627827796625,0.5771511478280072,0.3151241432384405,0.0220744097464112
2000-03-23,55.9375,56.4375,53.3125,53.40625,148224000,49.975,48.278125,50.01125,50.578951085120806,49.617395863193465,53.57906462779236,48.278125,42.97718537220764,67.04605130958689,92.46573319153966,84.19928571970594,0.6588281820573627,-0.2751377974603077,0.9339659795176705,5.9375,11.874999999999991,249.50525260450735,-4.395604395604395,2.4159505829255528,4.319017801878084,589945600.0,-106413618.17893946,66462460.2941089,0,0,0,47.82902,50.625,29.530302370591457,0,0.6279311921643652,-0.1015428828108415,0.5568204122373346,0.3401292699676962,0.0666154491639089
2000-03-24,55.84375,57.5,54.78125,56.3125,112196800,50.509375,48.7875,50.07,51.53618725146248,50.210381971460755,54.881349358164364,48.7875,42.69365064183564,66.70554129821194,88.82657720863368,87.54241297084037,1.0580813360766115,-0.008493970752923852,1.0665753068295354,5.34375,10.581683168316825,197.6702053808775,-13.802083333333334,2.437579112716585,4.364998970729196,477748800.0,-130916367.60422683,65418636.20622179,0,0,0,48.8620376,51.1875,29.85342853799863,0,0.519458532844053,-0.0686965490330928,0.6421657104530982,0.4113953793377898,0.0516121949968285
2000-03-27,52.03125,54.125,51.96875,53.8828125,111434000,50.8125,49.1,50.0325,51.626198660287486,50.383797974178776,55.186152314886655,49.1,43.01384768511335,54.56829137141261,78.74313186813188,86.6784807561017,1.0546975526321276,0.20414433392408646,0.8505532187080411,3.03125,6.186224489795911,76.27497371188224,-45.57291666666667,2.5402520332368286,4.882166069884596,366314800.0,-235890425.57524133,25643631.888015926,0,0,0,50.071352336000004,51.75,29.99770510917749,0,0.6455257922816582,-0.3529146872943733,0.5681997193566207,0.3747542172446345,0.0222721221573642
2000-03-28,52.15625,53.71875,51.1875,51.8125,81114400,51.271875,49.4734375,49.953125,51.722571631144305,50.552602929018896,55.34349110255535,49.4734375,43.60338389744466,54.858306779031295,63.82902298850576,77.13291068842375,1.0499986048892183,0.37331518811711284,0.6766834167721054,4.59375,9.65834428383705,54.38474063735766,-49.13793103448276,2.5396090308627697,4.86923241387709,447429200.0,-254917260.14314255,986807.1327798665,0,0,0,51.111363008960005,51.75,29.799981163191724,0,0.6539435161734292,-0.1840417191532853,0.5661897217181642,0.5231199872025488,0.0266390898588509
2000-03-29,53.59375,54.46875,52.5625,52.59375,64363800,51.8625,49.8828125,49.871875,52.06278588002716,50.84223598339805,55.70296455315766,49.8828125,44.06266044684234,58.16563788766887,56.45653735632186,66.3428974043198,1.1490236617300837,0.528456882839707,0.6205667788903767,5.90625,12.385321100917434,76.35810517166439,-35.91954022988506,2.5233869572297145,4.708360503285765,511793000.0,-249641538.83166716,-7511146.861872703,0,0,0,51.1875,51.75,29.22981508306352,0,0.6621003450676008,0.3536431793702209,0.6226961791121113,0.5424598312828542,0.0668606919241384
