Date,Adj Close,Close,High,Low,Open,Volume,fundamental_score,sentiment_score,industry_trend_score,market_risk_factor,black_swan_risk,SMA_10,SMA_30,SMA_50,SMA_200,EMA_10,EMA_30,BB_UPPER,BB_MIDDLE,BB_LOWER,SAR,RSI,MACD,MACD_signal,MACD_hist,STOCH_k,STOCH_d,ADX,CCI,WILLR,MOM,OBV,AD,ATR,NATR,TRANGE,HT_DCPERIOD
2000-10-17,0.3024201691150665,0.359375,0.391741007566452,0.3515630066394806,0.3872770071029663,601720000,0.5161,0.0391,0.0388,0.6983,0.0465,0.381808003783226,0.7438151448965072,0.8270647448301315,0.9429757122695446,0.4225872832766673,0.639670975541266,1.1431195403733434,0.5923410072922707,0.041562474211198075,0.44542647560149656,25.960943162682675,-0.1594894300691539,-0.15021928931070647,-0.009270140758447426,5.991765369682753,5.2776408151701935,44.51314266314683,-59.263875045837885,-97.1171440345434,-0.03906300663948059,-7150567200.0,-15051549272.99892,0.06258950053064409,17.09257630141579,0.040178000926971436,28.359249311651347
2000-10-18,0.3024201691150665,0.359375,0.376116007566452,0.3348209857940674,0.3470979928970337,834265600,0.4716,0.1937,0.0086,0.6382,0.0598,0.375558003783226,0.721010077993075,0.8175558251142502,0.940196692198515,0.4110941408627278,0.621587364216023,1.0650327311491319,0.5558036044239998,0.0465744776988678,0.4246447834150809,25.960943162682675,-0.15480675691253637,-0.15113678283107246,-0.0036699740814639115,7.714866099159917,6.513092783891147,45.25831476531824,-100.94075189451526,-86.58514703655521,-0.0625,-7150567200.0,-14893706453.401495,0.061575477732631737,16.692448613250257,0.041295021772384644,27.752566140341607
2000-10-19,0.2845758497714996,0.3381699919700622,0.3537949919700622,0.327008992433548,0.3420760035514831,1506724800,0.5148,0.1189,0.0347,0.5561,0.0658,0.36997770369052885,0.6953776429096857,0.8073549455404282,0.9372446872293949,0.39783520470042494,0.603302372458219,0.9938708527127142,0.5220982536673546,0.05032565462199495,0.4066800238908782,24.898362705168257,-0.15106538391857138,-0.15112250304857225,5.711913000086555e-05,7.901762343064035,7.202797937302247,46.00906465853764,-135.53383862213914,-92.59242189970941,-0.05580300092697149,-8657292000.0,-15144808533.664608,0.06018455058186127,17.15570698809631,0.032366007566452026,27.14275055168914
2000-10-20,0.2930279970169067,0.3482140004634857,0.3638390004634857,0.3381699919700622,0.3404020071029663,791263200,0.5885,0.0747,0.0,0.3549,0.0666,0.36517860293388366,0.671940141916275,0.7973326253890991,0.9347446873784065,0.38881316756643597,0.5868450581359782,0.9306556109466781,0.49291295409202573,0.05517029723737332,0.3907458175994122,26.434288073460117,-0.14561133449740182,-0.15002026933833817,0.004408934840936352,12.859697242282762,9.49210856150225,46.431633432077554,-93.04100216351338,-82.24333933688722,-0.04799100756645197,-7866028800.0,-15316846078.464905,0.05854095333955471,15.997344320448112,0.025669008493423517,26.571606080413446
2000-10-23,0.3061767816543579,0.3638390004634857,0.3671880066394806,0.3470979928970337,0.3618859946727752,551292000,0.6083,0.1272,0.0496,0.286,0.055,0.3627232015132904,0.6492838750282923,0.7875781458616257,0.9321219174563885,0.3842724099113541,0.5724575705442045,0.8489285641521018,0.46333705335855485,0.07774554256500782,0.3779984525662393,28.871330183198086,-0.13843239168027582,-0.1477026938067257,0.009270302126449886,19.499091799296373,13.42018379488107,46.72870788732088,-53.2060263125224,-66.66696336551438,-0.02455401420593256,-7314736800.0,-14949354879.842724,0.056709956215882915,14.61115094734438,0.0200900137424469,26.122993079537668
2000-10-24,0.2836368083953857,0.3370540142059326,0.3727680146694183,0.3359380066394806,0.3694199919700622,804451200,0.6358,0.234,0.0559,0.3597,0.0657,0.3591518014669418,0.6261440088351568,0.777511186003685,0.9294433476030827,0.3756872470558229,0.5572702443288322,0.7614477663885113,0.43426340371370314,0.10707904103889493,0.327008992433548,27.20741582009387,-0.13336698077936626,-0.14483555120125383,0.011468570421887564,20.06031819351459,17.473035745031254,47.11240202270236,-80.49253726005826,-90.90874271705476,-0.03571400046348566,-8119188000.0,-15705053789.302269,0.055763292016552196,15.42618074910535,0.03683000802993769,25.84835895719859
2000-10-25,0.2780010998249054,0.3303569853305816,0.342633992433548,0.329241007566452,0.3404020071029663,663969600,0.5986,0.1537,0.0547,0.3455,0.0686,0.35714290142059324,0.6026321073373159,0.7674442255496978,0.9269545075297355,0.36744538128759724,0.5426306792321709,0.6670898247204391,0.40708705186843874,0.14708427901643834,0.32792417287826536,26.79165916130475,-0.1284127382940165,-0.14155098861980636,0.013138250325789858,15.40716495304198,18.322191648617657,47.53494290482718,-123.15735796226711,-96.20279905830505,-0.020089000463485773,-8783157600.0,-16258372131.645964,0.05374565834276856,14.904272701784274,0.013392984867095947,25.703196311323673
2000-10-26,0.2780010998249054,0.3303569853305816,0.3370540142059326,0.3125,0.3359380066394806,721851200,0.6017,0.1212,0.0068,0.475,0.0773,0.3544642984867096,0.5797991385062535,0.7567299455404282,0.9247139923274517,0.36070203656813987,0.5289356022062619,0.4447768909407804,0.3758370503783226,0.3068972098158648,0.3727680146694183,26.791659161304754,-0.12306781625228641,-0.13785435414630237,0.01478653789401596,10.093178053446666,15.186887066667756,48.093541226652974,-139.15410850045046,-82.60892406430031,-0.02678602933883667,-8783157600.0,-15930286145.721529,0.052355580050538274,14.370579652118392,0.024554014205932617,25.619103354460776
2000-10-27,0.278940200805664,0.3314729928970337,0.342633992433548,0.3191959857940674,0.3370540142059326,744503200,0.6024,0.0519,0.0196,0.4666,0.082,0.3482142984867096,0.5579706380764643,0.7449888652563095,0.9220521624386311,0.3553876649915751,0.5161960790250214,0.42917701999975927,0.36941965073347094,0.3096622814671826,0.3715626543760299,27.007228063666737,-0.11738869078691438,-0.13376122147442476,0.016372530687510378,13.222080817241602,12.907474607910094,48.418330175617974,-109.39982816295338,-81.52203442566994,-0.0625,-8038654400.0,-15894836407.301872,0.05097855274524982,13.804244315505981,0.02343800663948059,25.594142810357837
2000-10-30,0.2902108132839203,0.344866007566452,0.3560270071029663,0.3348209857940674,0.3415180146694183,639189600,0.5963,-0.0663,0.0175,0.3932,0.0839,0.34430799782276156,0.5333612700303395,0.7340290451049805,0.9192926773428917,0.3534746363688254,0.5051425260276944,0.4179674729326169,0.3650111511349678,0.3120548293373187,0.3703814012885093,29.683193938488024,-0.11053308202090678,-0.12911559358372116,0.018582511562814374,22.463527505009694,15.259595458565999,48.24873935876368,-38.95190774335099,-68.47845899500078,-0.03906300663948059,-7399464800.0,-15928474088.32993,0.04972024138623471,12.82898789982788,0.024554014205932617,25.637300621317063
